epoch,lifetime,reward_mean,policy_loss,value_loss,sym_loss,score_real_run/full,score_fake_run/full,disc_reward_run/full,task_reward_0
1,9.8125,-0.7886176705360413,0.2602319478988647,0.6794615626335144,0.0,0.021245673298835754,0.05892849341034889,0.05822164937853813,-0.07111042737960815
10,11.875,-1.2628962993621826,-0.02348206490278244,0.45502796173095705,0.0,0.021583696827292442,0.05745839782887035,0.05400177091360092,-0.03887069597840309
20,9.75,-1.4823595881462097,-0.023836593516170977,0.12541483938694,0.0,0.022439231164753437,0.05460128113627434,0.04470285400748253,-0.07880868762731552
30,12.75,-1.2871662378311157,-0.025101061910390854,0.08985338807106018,0.0,0.024327069334685803,0.047754788771271706,0.042798060923814774,-0.07810515910387039
40,12.8125,-1.380270540714264,-0.030072478204965593,0.05801884010434151,0.0,0.027539452724158763,0.04356805831193924,0.0397162027657032,-0.06599444895982742
50,16.8125,-1.0998156666755676,-0.024140970036387443,0.05160230547189713,0.0,0.028511237911880018,0.03581418842077255,0.026475057005882263,-0.07926248759031296
60,10.4375,-1.3937163352966309,-0.023758695647120475,0.03446948379278183,0.0,0.03176852520555258,0.03261531386524439,0.023472346365451813,-0.07766298949718475
70,13.6875,-1.110191822052002,-0.017407483980059625,0.03150256425142288,0.0,0.03434983119368553,0.021500291861593725,0.013416741043329239,-0.08802782744169235
80,16.5,-1.3034824132919312,-0.02421383038163185,0.03913293033838272,0.0,0.0366537194699049,0.014839995838701724,0.012267368845641613,-0.08368842303752899
90,12.8125,-1.4003877639770508,-0.028240035101771355,0.021357810869812966,0.0,0.03930686600506306,0.008425720361992716,0.004861523397266865,-0.07397091388702393
100,13.5625,-1.1052671074867249,-0.029601112939417362,0.03495681136846542,0.0,0.042682242766022685,0.0022659255657345055,-0.001951106358319521,-0.06303540617227554
110,10.6875,-1.3861857056617737,-0.024261547811329366,0.03023931384086609,0.0,0.04588190950453282,-0.0038265736075118184,-0.0037110934499651194,-0.03474408760666847
120,14.75,-0.9254788160324097,-0.023682939074933528,0.019501230120658873,0.0,0.048771831765770914,-0.010331263486295938,-0.013923361897468567,-0.08365365862846375
130,10.75,-1.4093574285507202,-0.02305685505270958,0.021801720559597015,0.0,0.05206390433013439,-0.016628208570182323,-0.014801963232457638,-0.0761340856552124
140,13.875,-1.315805196762085,-0.030097316950559616,0.014228483475744725,0.0,0.055488615110516545,-0.019846473727375268,-0.025597834959626198,-0.07381284981966019
150,14.0625,-1.222573161125183,-0.029302305541932583,0.01771121323108673,0.0,0.058464876189827916,-0.02962494771927595,-0.03221369534730911,-0.07677726447582245
160,8.9375,-1.7892259359359741,-0.023957434669137002,0.027172957733273505,0.0,0.060082802176475526,-0.034725644253194334,-0.0370820052921772,-0.0358000323176384
170,14.8125,-1.5211722254753113,-0.03145787343382835,0.011478185094892979,0.0,0.06399686001241207,-0.04211631268262863,-0.04603658244013786,-0.07612711191177368
180,8.6875,-1.716860830783844,-0.024779545329511165,0.018920467980206013,0.0,0.0659807376563549,-0.04871492981910706,-0.05171060189604759,-0.07430107891559601
190,9.875,-1.618107259273529,-0.02940395325422287,0.015031476877629757,0.0,0.06921245232224464,-0.05443534664809704,-0.05543962121009827,-0.06759299337863922
200,11.75,-1.4137871265411377,-0.027634146995842455,0.02797086089849472,0.0,0.07129915207624435,-0.06275840364396572,-0.06260821223258972,-0.04160883650183678
210,10.875,-1.5289204120635986,-0.02314152419567108,0.01390804648399353,0.0,0.07344733476638794,-0.06900754868984223,-0.06667071580886841,-0.07278098165988922
220,10.5625,-1.52737557888031,-0.02393956035375595,0.017529799416661263,0.0,0.07619199305772781,-0.0727899070829153,-0.07178027927875519,-0.06485873460769653
230,11.8125,-1.1418542861938477,-0.02822250537574291,0.014209541119635105,0.0,0.07917019724845886,-0.08134322911500931,-0.08090957254171371,-0.05966024100780487
240,8.5,-1.6270532011985779,-0.028235271200537683,0.012696908973157405,0.0,0.08222604840993882,-0.08368109464645386,-0.07558751106262207,-0.06604649126529694
250,8.4375,-1.8294799327850342,-0.028718183934688567,0.012396214716136455,0.0,0.08382370322942734,-0.09045302122831345,-0.09580211341381073,-0.06477242708206177
260,18.1875,-1.354819118976593,-0.022377940267324446,0.00829889215528965,0.0,0.08717836290597916,-0.09485037922859192,-0.10090339183807373,-0.08083481341600418
270,17.5625,-0.854068398475647,-0.024868621863424777,0.013096015900373459,0.0,0.08811371251940728,-0.09924916476011277,-0.10639658570289612,-0.043964505195617676
280,11.0,-1.3578842878341675,-0.024287958443164826,0.009724406525492668,0.0,0.08948390632867813,-0.10522746145725251,-0.11483637243509293,-0.07489639520645142
290,8.125,-1.5516810417175293,-0.022488543763756752,0.01448624935001135,0.0,0.09070827588438987,-0.11211110576987267,-0.0966327041387558,-0.09153088927268982
300,13.125,-1.2559420466423035,-0.025081433728337287,0.013998370058834553,0.0,0.09231004044413567,-0.11398632898926735,-0.11840642988681793,-0.0636143907904625
310,14.5,-1.2595233917236328,-0.025860779359936713,0.02844785004854202,0.0,0.09565573930740356,-0.11678882539272309,-0.11260151863098145,-0.07455844432115555
320,10.875,-1.4589296579360962,-0.030542438849806786,0.017272240668535232,0.0,0.09594236239790917,-0.12043424099683761,-0.12195734679698944,-0.07688010483980179
330,9.9375,-1.5582183003425598,-0.029548713564872743,0.01689053513109684,0.0,0.09604082182049752,-0.12318502143025398,-0.13147670030593872,-0.07314413785934448
340,14.625,-0.9757015109062195,-0.025264407880604266,0.01415630653500557,0.0,0.09798195734620094,-0.12953421324491501,-0.1291780173778534,-0.07490172237157822
350,13.75,-1.1673889756202698,-0.027341340854763984,0.011237765662372112,0.0,0.10132221728563309,-0.13140526339411734,-0.13116256892681122,-0.06888279318809509
360,7.3125,-1.5560921430587769,-0.022908033244311808,0.019941171631217003,0.0,0.10128109753131867,-0.1340666927397251,-0.12402164936065674,-0.07697104662656784
370,14.4375,-1.4651641249656677,-0.028003090620040895,0.010643943026661874,0.0,0.1034468300640583,-0.14035468846559523,-0.15016531944274902,-0.06407472491264343
380,12.875,-1.1840288639068604,-0.026980237662792207,0.010307870246469975,0.0,0.10451162904500962,-0.1415982723236084,-0.14841964840888977,-0.08585136383771896
390,12.625,-1.2727339267730713,-0.024502751231193543,0.013731973990797997,0.0,0.10544075816869736,-0.1448114335536957,-0.14773224294185638,-0.07047216594219208
400,11.125,-1.3728044033050537,-0.030219895765185356,0.011315867863595485,0.0,0.10822117552161217,-0.15108014941215514,-0.14928275346755981,-0.07424048334360123
410,17.375,-1.0831694602966309,-0.021860508620738982,0.013305390626192093,0.0,0.10939879566431046,-0.15463382601737977,-0.15326322615146637,-0.07335368543863297
