epoch,lifetime,reward_mean,policy_loss,value_loss,sym_loss,score_real__/full,score_fake__/full,disc_reward__/full
1,16.0,-0.0068961805664002895,0.24253074526786805,0.6464038372039795,0.0,0.020231228321790695,-0.0061516473069787025,-0.0068961805664002895
10,12.3125,-0.04728396236896515,-0.024919304251670837,0.2740552842617035,0.0,0.032007604423496455,-0.0048010188103136085,-0.04728396236896515
20,16.625,-0.03587750345468521,-0.017457245104014873,0.14694745242595672,0.0,0.03615243323147297,-0.0070709888590499755,-0.03587750345468521
30,15.0,-0.04536471515893936,-0.01929389499127865,0.06206326708197594,0.0,0.03860132247209549,-0.006252036057412624,-0.04536471515893936
40,16.25,-0.054838307201862335,-0.024795713275671004,0.06863158643245697,0.0,0.04290039874613285,-0.010776796168647707,-0.054838307201862335
50,15.625,-0.048353925347328186,-0.023085320740938185,0.03379639983177185,0.0,0.04778493866324425,-0.01424466036260128,-0.048353925347328186
60,16.375,-0.046660616993904114,-0.02073482219129801,0.06855593845248223,0.0,0.0544610295444727,-0.016997911874204873,-0.046660616993904114
70,14.5625,-0.06150653585791588,-0.023646505177021028,0.05621112734079361,0.0,0.06017783097922802,-0.021948532573878764,-0.06150653585791588
80,20.125,-0.05762183666229248,-0.021593852341175078,0.07081631124019623,0.0,0.0664358962327242,-0.02707087229937315,-0.05762183666229248
90,19.3125,-0.06093507260084152,-0.02146815210580826,0.08005050420761109,0.0,0.07374534606933594,-0.032227592170238496,-0.06093507260084152
100,15.75,-0.06426239758729935,-0.024857197701931,0.037650255113840105,0.0,0.08008417040109635,-0.03600206170231104,-0.06426239758729935
110,17.9375,-0.07043466717004776,-0.02208888828754425,0.06027179509401322,0.0,0.08611803501844406,-0.038856498524546625,-0.07043466717004776
120,16.25,-0.07754431664943695,-0.021605148911476135,0.05624057799577713,0.0,0.09233829900622367,-0.04421986043453217,-0.07754431664943695
130,14.625,-0.08118888735771179,-0.023365220800042153,0.0751612052321434,0.0,0.09793413281440735,-0.04600650258362293,-0.08118888735771179
140,13.25,-0.08963135629892349,-0.02168771345168352,0.04547241628170014,0.0,0.10356867015361786,-0.05143165290355682,-0.08963135629892349
150,16.3125,-0.08003775030374527,-0.024574730545282364,0.052468497306108475,0.0,0.10817222446203231,-0.053536536172032356,-0.08003775030374527
160,11.875,-0.10021570324897766,-0.027149130776524543,0.04184437468647957,0.0,0.11220511347055435,-0.061567049473524094,-0.10021570324897766
170,13.125,-0.10963612794876099,-0.026153818890452384,0.07535729408264161,0.0,0.11588365510106087,-0.06681723222136497,-0.10963612794876099
180,20.4375,-0.10859031975269318,-0.020175182074308396,0.049559900909662245,0.0,0.11892168521881104,-0.07632390037178993,-0.10859031975269318
190,20.5,-0.10564393550157547,-0.01450475249439478,0.2959829270839691,0.0,0.12215521410107613,-0.08129537850618362,-0.10564393550157547
200,15.75,-0.12232130020856857,-0.024866051226854324,0.03561902120709419,0.0,0.12498732879757882,-0.08864739835262299,-0.12232130020856857
210,15.0625,-0.1460351198911667,-0.013071121647953987,0.16023243367671966,0.0,0.12820481806993483,-0.0950818844139576,-0.1460351198911667
220,15.5625,-0.11388171464204788,-0.02295011971145868,0.058909325301647185,0.0,0.13119805455207825,-0.09565034434199333,-0.11388171464204788
230,19.375,-0.12293514609336853,-0.02194436565041542,0.036176207661628726,0.0,0.1339782267808914,-0.1033556841313839,-0.12293514609336853
